School Name,School ID Number,Course Work Number,Course Work Course Title,Course Work Catalog Code,Course Work Credit Hours,Non-Catalog Course Title
ASBURY UNIVERSITY               ,75595,589669,Calculus-II,UG21,4,Calculus II                     
ASBURY UNIVERSITY               ,75595,589666,Introduction to Drawing,UG21,3,Intro Drawing                   
ASBURY UNIVERSITY               ,75595,589663,Intro to Physics,UG21,4,Intro to Physics I              
ASBURY UNIVERSITY               ,75595,589664,Pure Elective,    ,0,Intro to Physics I Lab          
ASBURY UNIVERSITY               ,75595,589665,Adv Spanish Grammar/Composition,UG21,3,Spanish Comp & Conv             
ASBURY UNIVERSITY               ,75595,589662,Biblical History and Ideas,UG21,3,Und Old Testament               
ASBURY UNIVERSITY               ,75595,589668,Pure Elective,    ,3,War in Amer Memory              
Auburn University               ,68735,554751,Pure Elective,    ,3,Appreciation of Music           
Auburn University               ,68735,554750,Pure Elective,    ,4,Calculus With Business AppsI    
Auburn University               ,68735,554749,Pure Elective,    ,3,English Composition II          
Auburn University               ,68735,554752,Pure Elective,    ,3,Introduction to Theatre         
Auburn University               ,68735,554748,Pure Elective,    ,3,Principles of Microeconomics    
BERRY COLLEGE                   ,308225,565907,Intro to Comparative Politics,UG19,3,American National Government    
BERRY COLLEGE                   ,308225,565925,Pure Elective,    ,3,Applied Calculus                
BERRY COLLEGE                   ,308225,565916,Pure Elective,    ,4,Biological Diversity            
BERRY COLLEGE                   ,308225,565911,Intro to Cultural Anthropology,UG19,3,Cultural Anthropology           
BERRY COLLEGE                   ,308225,565909,Introduction to Statistics,UG19,3,Elementary Statistics           
BERRY COLLEGE                   ,308225,565915,Pure Elective,    ,3,Experiencing Theatre            
BERRY COLLEGE                   ,308225,565924,Community-Based Learn Sub Crs,UG21,4,Foundations of Edu/Psych        
BERRY COLLEGE                   ,308225,565908,Development of United States-II,UG19,3,Foundations of Modern Americ    
BERRY COLLEGE                   ,308225,565923,Introduction to Linguistics,UG19,3,Intro to Applied Linguistics    
BERRY COLLEGE                   ,308225,565914,Pure Elective,    ,3,Intro to Christian Ethics       
BERRY COLLEGE                   ,308225,565910,Pure Elective,    ,3,Introduction to Psychology      
BERRY COLLEGE                   ,308225,565921,Life-Span Developmental Psych,UG19,3,Lifespan Development            
BERRY COLLEGE                   ,308225,565912,Intro to Economics,UG19,3,Markets and Society             
BERRY COLLEGE                   ,308225,565926,Pure Elective,    ,3,Mathematics for Teachers        
BERRY COLLEGE                   ,308225,565913,Pure Elective,    ,3,Nutrition                       
BERRY COLLEGE                   ,308225,565919,Pure Elective,    ,1,Orientation to Teacher Ed       
BERRY COLLEGE                   ,308225,565922,Financial Accounting,UG19,3,Prin of Financial Accounting    
BERRY COLLEGE                   ,308225,565918,Managerial Economics,UG19,3,Principles of Managerial Eco    
BERRY COLLEGE                   ,308225,565920,Pure Elective,    ,3,Reading the South               
BERRY COLLEGE                   ,308225,565917,Pure Elective,    ,3,Rhetoric and Public Address     
Bard College                    ,231936,566791,Calculus-I,UG20,3,Calculus I                      
Bard College                    ,231936,575280,Pure Elective,    ,3,Computer Science                
Bard College                    ,231936,566797,Pure Elective,    ,3,Epistemology of Conspiracy      
Bard College                    ,231936,575249,Pure Elective,    ,4,Intro to Gen Biology I w/Lab    
Bard College                    ,231936,575250,Pure Elective,    ,4,Intro to Gen Biology IIw/lab    
Bard College                    ,231936,566792,Pure Elective,    ,3,Intro to Painting               
Bard College                    ,231936,566790,Pure Elective,    ,3,The American Supreme Court      
Bellarmine University           ,234542,612113,Pure Elective,    ,3,Hnors FY Seminar: Refugees      
Bellarmine University           ,234542,612112,Pure Elective,    ,3,Honors History:Global Europe    
Bellarmine University           ,234542,612115,Pure Elective,    ,3,Introduction to Business        
Bellarmine University           ,234542,612117,Survey of Psychological Science,UG22,3,Introductory Psychology         
Bellarmine University           ,234542,612110,Financial Accounting,UG22,3,Prin of Financial Accounting    
Bellarmine University           ,234542,612114,Managerial Accounting,UG22,3,Prin ofManagerial Accounting    
Bellarmine University           ,234542,612111,Pure Elective,    ,3,Principles of Macroeconomics    
Bellarmine University           ,234542,612116,Pure Elective,    ,3,Principles of Microeconomics    
Bellarmine University           ,234542,612161,Calculus-II,UG22,4,Calculus II                     
Bellarmine University           ,234542,612165,Intro to Biochem & Cell Biology,UG22,4,Cell Biology                    
Bellarmine University           ,234542,612164,Pure Elective,    ,3,Experiencing Theatre            
Bellarmine University           ,234542,612163,Pure Elective,    ,3,Fake News and Public Trust      
Bellarmine University           ,234542,612160,General Chemistry-II,UG22,4,General Chemistry II            
Bellarmine University           ,234542,612157,General Chemistry-I,UG22,4,General College Chemistry I     
Bellarmine University           ,234542,612169,Introduction to Genetics,UG22,4,Genetics                        
Bellarmine University           ,234542,612159,Pure Elective,    ,3,Honors FY Seminar: Refugees     
Bellarmine University           ,234542,612158,Pure Elective,    ,3,Honors Intro AcademicWriting    
Bellarmine University           ,234542,612167,Pure Elective,    ,3,Introduction to Literature      
Bellarmine University           ,234542,612166,Organic Chemistry-I,UG22,4,Organic Chemistry I             
Bellarmine University           ,234542,612170,Organic Chemistry-II,UG22,4,Organic Chemistry II            
Bellarmine University           ,234542,612156,"Evolution, Biodiversity, Ecology",UG22,4,Principles of Biology           
Bellarmine University           ,234542,612168,General Physics-I,UG22,4,University Physics I            
Bellarmine University           ,234542,577682,Pure Elective,    ,3,Intro to Academic Writing       
Bellarmine University           ,234542,577683,Intro to Psychological Science,UG20,3,Introductory Psychology         
Belmont University              ,46913,589574,First-Year Music Production,UG21,1,Basic Training: DAW             
Belmont University              ,46913,589573,Centre College Choir,UG21,1,Belmont Chorale                 
Belmont University              ,46913,589586,Calculus-III,UG21,4,Calculus III                    
Belmont University              ,46913,589578,Centre College Choir,UG21,1,Chorale                         
Belmont University              ,46913,589581,First-Year Music Production,UG21,1,Critical Listening-Audio Prd    
Belmont University              ,46913,589575,Biblical History and Ideas,UG21,3,Engaging Bible and Culture      
Belmont University              ,46913,589570,Pure Elective,    ,3,Honors Humanities Seminar       
Belmont University              ,46913,589569,Pure Elective,    ,3,Honors Interdisciplinary Sem    
Belmont University              ,46913,589577,Pure Elective,    ,3,Honors Math Inquiry Seminar     
Belmont University              ,46913,589583,Pure Elective,    ,3,Honors Oral Comm Seminar        
Belmont University              ,46913,589584,Pure Elective,    ,3,Honors Social Science Seminr    
Belmont University              ,46913,589576,Pure Elective,    ,3,Honors Wellness Seminar         
Belmont University              ,46913,589579,Pure Elective,    ,3,Intro to Physics CLASS          
Belmont University              ,46913,589580,Pure Elective,    ,1,Intro to Physics Lab            
Belmont University              ,46913,589572,Pure Elective,    ,3,Mass Media and Society          
Belmont University              ,46913,589582,Programming and Problem Solving,UG21,3,Programming I                   
Belmont University              ,46913,589585,Pure Elective,    ,3,Study Abroad Writing Wkshp      
Belmont University              ,46913,589568,Pure Elective,    ,3,Survey of Audio Eng Tech        
